X,Y,id,schoolname,score,num_fixtures,zip
-87.637153,41.769714,395,Robeson Hs,0.14666666666666667,15.0,60621
-87.599067,41.817349,396,Robinson,0.010256410256410256,13.0,60653
-87.697185,42.015265,397,Rogers,0.0,16.0,60645
-87.714819,41.964828,398,Roosevelt Hs,0.015789473684210527,38.0,60625
-87.664072,41.907797,399,Rowe,0.02666666666666667,15.0,60642
-87.669477,41.883568,400,Rudolph,0.0,16.0,60612
-87.618066,41.751946,401,Ruggles,0.0,15.0,60619
-87.680745,41.848101,402,Ruiz,0.0,22.0,60608
-87.638843,41.735379,403,Ryder,0.0,16.0,60620
-87.68305,41.906816,404,Sabin,0.0,15.0,60622
-87.633632,41.901417,405,Salazar,0.25,4.0,60610
-87.710987,41.792346,406,Sandoval,0.008333333333333333,24.0,60629
-87.697316,41.847941,407,Saucedo,0.0,12.0,60623
-87.745951,41.991169,408,Sauganash,0.0,12.0,60646
-87.705006,41.797498,409,Sawyer,0.015853658536585366,41.0,60632
-87.798721,41.914151,410,Sayre,0.025,16.0,60707
-87.732179,41.941678,411,Scammon,0.0,16.0,60641
-87.596932,41.716989,412,Schmid,0.025,8.0,60628
-87.76119,41.930403,413,Schubert,0.0,19.0,60639
-87.735612,41.946365,414,Schurz Hs,0.02083333333333333,48.0,60641
-87.667136,41.989029,415,Senn Hs,0.0,25.0,60660
-87.668772,41.810333,416,Seward,0.0,22.0,60609
-87.64134,41.8444,417,Sheridan,0.0,11.0,60616
-87.650221,41.799766,418,Sherman,0.08333333333333333,12.0,60609
-87.632279,41.7908,419,Sherwood,0.0,12.0,60621
-87.689647,41.815909,420,Shields,0.0,30.0,60632
-87.593905,41.804294,421,Shoesmith,0.0,13.0,60615
-87.658669,41.690919,422,Shoop,0.0,15.0,60643
-87.668722,41.864365,423,Simpson Hs,0.1142857142857143,7.0,60608
-87.659419,41.879103,424,Skinner (West),0.0,23.0,60607
-87.644841,41.905109,425,Skinner North,0.0,16.0,60610
-87.60466,41.707558,426,Smith,0.009523809523809523,14.0,60628
-87.781975,41.958868,427,Smyser,0.05384615384615385,26.0,60634
-87.653445,41.865351,428,Smyth,0.042857142857142864,14.0,60608
-87.724043,41.993942,429,Solomon,0.018181818181818184,11.0,60659
-87.628615,41.866875,430,South Loop,0.0,16.0,60605
-87.590396,41.767755,431,South Shore Es,0.0,5.0,60637
-87.750445,41.884876,432,Spencer,0.03214285714285715,28.0,60644
-87.700184,41.847747,433,Spry Es,0.0,14.0,60623
-87.649217,41.758925,434,Stagg,0.0,6.0,60621
-87.783515,41.935634,435,Steinmetz Hs,0.0,45.0,60634
-87.664969,41.868576,436,Stem,0.0,16.0,60607
-87.731666,41.747107,437,Stevenson,0.0,37.0,60652
-87.814195,42.016892,438,Stock,0.015384615384615384,13.0,60631
-87.684793,41.995359,439,Stone,0.018181818181818184,22.0,60659
-87.713318,41.911938,440,Stowe,0.017391304347826087,23.0,60647
-87.677636,41.883215,441,Suder,0.0,20.0,60612
-87.669192,42.002688,442,Sullivan Hs,0.0,31.0,60626
-87.733524,41.870828,443,Sumner,0.0,9.0,60624
-87.676821,41.711445,444,Sutherland,0.0,16.0,60643
-87.658296,41.989139,445,Swift,0.0,27.0,60660
-87.791547,41.982961,446,Taft Hs,0.0,51.0,60631
-87.673723,41.892405,447,Talcott,0.010526315789473684,19.0,60622
-87.690261,41.794048,448,Talman,0.0,9.0,60632
-87.606791,41.760673,449,Tanner,0.21875,16.0,60619
-87.706445,41.764407,450,Tarkington,0.005714285714285714,35.0,60629
-87.532971,41.71547,451,Taylor,0.0,11.0,60617
-87.633019,41.781485,452,Team Hs,0.0047619047619047615,42.0,60621
-87.677542,41.827775,453,Thomas,0.0,5.0,60609
-87.54428,41.733324,454,Thorp J,0.0,18.0,60617
-87.777631,41.948571,455,Thorp O,0.0,15.0,60634
-87.642966,41.80751,456,Tilden Hs,0.0071428571428571435,28.0,60609
-87.609357,41.775424,457,Till,0.015384615384615384,13.0,60637
-87.730566,41.884102,458,Tilton,0.023529411764705882,17.0,60624
-87.708179,41.787523,459,Tonti,0.005128205128205128,39.0,60629
-87.630164,41.725609,460,Turner-Drew,0.0,11.0,60620
-87.758928,41.799046,461,Twain,0.008333333333333333,24.0,60638
